Experiment,datafile,Layer,SumSliceX,SumSliceXsame,SumSliceXgain,SumSliceXlost
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1200,5095,863,4232,2873
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1400,4559,2391,2168,3127
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1600,11961,4475,7486,2080
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1800,7650,3806,3844,1297
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,2000,14212,7877,6335,550
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,200,12602,9099,3503,729
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,400,2858,1339,1519,246
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,600,9150,5572,3578,867
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,800,16440,9410,7030,877
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1000,6504,4705,1799,679
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1200,7871,4196,3675,899
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1400,5298,3488,1810,1071
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1600,18513,10592,7921,1369
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1800,10127,6697,3430,953
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,2000,19411,13564,5847,648
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,200,19803,11776,8027,826
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,400,8191,1350,6841,1508
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,600,18151,8686,9465,464
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,800,32742,15420,17322,1020
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1000,16226,5797,10429,707
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1200,17882,6694,11188,1177
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1400,15062,4391,10671,907
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1600,36918,17315,19603,1198
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1800,22165,8917,13248,1210
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,2000,29162,17495,11667,1916
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,200,25819,16699,9120,3104
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,400,19902,5684,14218,2507
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,600,31559,15129,16430,3022
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,800,38268,27623,10645,5119
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1000,26596,14415,12181,1811
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1200,30956,14448,16508,3434
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1400,30365,13062,17303,2000
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1600,43879,30848,13031,6070
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1800,25049,15925,9124,6240
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,2000,37417,25624,11793,3538
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,200,29645,16417,13228,9402
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,400,31068,10066,21002,9836
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,600,36097,19081,17016,12478
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,800,44187,25138,19049,13130
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1000,35832,16754,19078,9842
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1200,39720,17669,22051,13287
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1400,44569,18847,25722,11518
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1600,44417,27345,17072,16534
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1800,35407,15994,19413,9055
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,2000,41307,25643,15664,11774
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,200,23749,8306,15443,21339
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,400,31421,10852,20569,20216
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,600,33805,11732,22073,24365
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,800,42442,14877,27565,29310
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1000,43540,11018,32522,24814
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1200,41780,12601,29179,27119
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1400,39935,12377,27558,32192
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1600,40783,14085,26698,30332
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1800,35196,8970,26226,26437
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,2000,39935,14654,25281,26653
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,200,28376,12757,15619,10992
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,400,33160,14632,18528,16789
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,600,33842,15426,18416,18379
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,800,46840,21049,25791,21393
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,1000,43148,21322,21826,22218
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,1200,48882,21299,27583,20481
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,1400,49883,21308,28575,18627
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,1600,46381,19686,26695,21097
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,1800,42395,17641,24754,17555
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,2000,44811,21814,22997,18121
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,200,35216,17028,18188,11348
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,400,38874,18335,20539,14825
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,600,42297,19306,22991,14536
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,800,48780,27298,21482,19542
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,1000,46807,24681,22126,18467
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,1200,47552,27140,20412,21742
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,1400,53299,28639,24660,21244
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,1600,45804,24789,21015,21592
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,1800,44489,23822,20667,18573
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,2000,44825,25440,19385,19371
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,200,47969,23151,24818,12065
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,400,47581,21486,26095,17388
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,600,47881,25336,22545,16961
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,800,59738,31814,27924,16966
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,1000,48905,26905,22000,19902
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,1200,53353,27733,25620,19819
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,1400,56043,30270,25773,23029
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,1600,44245,25411,18834,20393
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,1800,54062,29244,24818,15245
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,2000,44561,26599,17962,18226
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,200,47108,27041,20067,20928
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,400,47198,26073,21125,21508
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,600,50624,29284,21340,18597
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,800,54603,34045,20558,25693
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,1000,52562,29487,23075,19418
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,1200,61362,33252,28110,20101
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,1400,60363,34947,25416,21096
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,1600,46459,28507,17952,15738
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,1800,54404,33879,20525,20183
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,2000,49427,31371,18056,13190
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,200,50691,30814,19877,16294
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,400,52883,32042,20841,15156
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,600,56201,33040,23161,17584
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,800,62122,37092,25030,17511
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,1000,59878,36811,23067,15751
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,1200,60771,38738,22033,22624
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,1400,67618,42028,25590,18335
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,1600,54975,34034,20941,12425
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,1800,56785,36540,20245,17864
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,2000,49123,33230,15893,16197
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,200,57317,33916,23401,16775
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,400,54073,34572,19501,18311
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,600,59608,36084,23524,20117
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,800,70723,43203,27520,18919
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,1000,61087,39348,21739,20530
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,1200,62041,35265,26776,25506
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,1400,68744,44677,24067,22941
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,1600,53687,37437,16250,17538
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,1800,53692,35664,18028,21121
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,2000,44622,32266,12356,16857
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,200,57011,40042,16969,17275
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,400,62844,39816,23028,14257
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,600,65132,42247,22885,17361
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,800,74892,51674,23218,19049
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,1000,67299,45780,21519,15307
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,1200,66755,45856,20899,16185
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,1400,78649,50916,27733,17828
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,1600,57156,42627,14529,11060
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,1800,56849,38444,18405,15248
SM_1_03022019_FR,SM_1_03022019_FR_23_t1_ORG,2000,54368,37470,16898,7152
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,200,48228,35659,12569,21352
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,400,48028,33169,14859,29675
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,600,47449,33864,13585,31268
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,800,53025,38097,14928,36795
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,1000,46173,36132,10041,31167
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,1200,56497,40883,15614,25872
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,1400,59056,43342,15714,35307
SM_1_03022019_FR,SM_1_03022019_FR_24_t1_ORG,1600,50670,37906,12764,19250
