Experiment,datafile,Layer,SumSliceY,SumSliceYsame,SumSliceYgain,SumSliceYlost
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1800,15758,5277,10481,4357
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,200,108459,60876,47583,44186
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,400,46477,10390,36087,34673
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,600,50455,8896,41559,35874
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,800,48144,11194,36950,42920
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1000,43986,9185,34801,33014
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1200,33876,9440,24436,23496
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1400,19704,5164,14540,28079
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1600,19110,5353,13757,14690
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1800,10771,2634,8137,13124
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,200,134035,86126,47909,22333
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,400,43876,14818,29058,31659
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,600,54948,19269,35679,31186
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,800,51452,19276,32176,28868
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,1000,40572,17392,23180,26594
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,1200,38867,13556,25311,20320
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,1400,28063,7675,20388,12029
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,1600,25325,8687,16638,10423
SM_1_03022019_FR,SM_1_03022019_FR_17_t1_ORG,1800,10559,4345,6214,6426
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,200,157513,123991,33522,10044
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,400,30517,12993,17524,30883
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,600,51000,22188,28812,32760
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,800,47875,17707,30168,33745
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,1000,50486,17783,32703,22789
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,1200,39552,15858,23694,23009
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,1400,32981,13173,19808,14890
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,1600,30002,12505,17497,12820
SM_1_03022019_FR,SM_1_03022019_FR_18_t1_ORG,1800,16482,5752,10730,4807
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,200,205898,153991,51907,3522
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,400,15332,7640,7692,22877
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,600,40644,20567,20077,30433
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,800,38244,15757,22487,32118
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,1000,51605,21609,29996,28877
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,1200,40547,15377,25170,24175
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,1400,44528,14929,29599,18052
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,1600,45362,15265,30097,14737
SM_1_03022019_FR,SM_1_03022019_FR_19_t1_ORG,1800,29196,8436,20760,8046
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,200,212851,186653,26198,19245
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,400,22934,7113,15821,8219
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,600,50426,18772,31654,21872
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,800,51643,17946,33697,20298
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,1000,58133,23354,34779,28251
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,1200,42957,15626,27331,24921
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,1400,42044,18055,23989,26473
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,1600,36778,18197,18581,27165
SM_1_03022019_FR,SM_1_03022019_FR_20_t1_ORG,1800,17029,8242,8787,20954
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,200,248402,211688,36714,1163
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,400,11446,5529,5917,17405
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,600,53107,23990,29117,26436
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,800,49192,23423,25769,28220
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,1000,61843,28109,33734,30024
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,1200,49911,20343,29568,22614
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,1400,46865,20366,26499,21678
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,1600,39276,19555,19721,17223
SM_1_03022019_FR,SM_1_03022019_FR_21_t1_ORG,1800,19806,7756,12050,9273
SM_1_03022019_FR,SM_1_03022019_FR_22_t1_ORG,200,303451,245655,57796,2747
